business_id,avg_rating,no_of_words,no_of_reviews,unique_no_of_food_entities,no_of_food_entities
1zDCfNgtfyh-Uw8j3JxhHA,4.0,6641,98,279,1435
0DmlApp_OFX1wuwvH7rvhg,4.5,290,4,28,40
UjAj7SjUQg8znkwk_gaDJw,3.5,27828,247,614,5946
_FHj7CEbxgXppkP-XKMuXg,4.5,1314,15,99,248
kFVapB4z_5VoOnYazF_ERA,4.0,30287,299,594,5069
twkCJJvXKBwPoRitFhnNzQ,4.5,654,7,30,84
FEkViB1aCpAkfa4GMWI4ug,3.0,16339,121,426,2909
GuI460v9AlhHIqArL32i9Q,4.0,452,5,49,99
_bDQqgRS6POAGi9-yHKDgw,4.0,22415,141,873,4373
POTGUAjI5Ag9zRrDNgSVOA,4.5,12876,95,486,2508
KgbCo7ZDFc5bY7w09PReGQ,4.0,3077,42,172,652
vNGkEUtsi3sKXVUrEwNMyA,4.0,14810,114,768,2755
kOXJrbuB1a1Na6sf_WQnDg,2.0,1904,7,121,310
lvM9OzZaZWo1gC8Mwcthjw,4.0,5362,48,277,1156
kR92Dbu3jwrODAhATsZ_3g,4.5,29842,247,581,6100
1ulwCamdqoX-SdMTcOhHDw,4.5,1234,16,95,237
q8R86OehdNa5fQ9ssu3STg,1.5,459,6,24,63
yKbXWo_6VlS3mD_RcPquog,3.5,11639,93,275,2103
H83p6FiaQochD6M6eOwEFg,3.5,703,9,42,82
cnc5Fu-xE1CKLI_bh7P01g,4.0,6967,71,282,1243
UUS9jAYMJLcAUWAUHrqQFg,3.0,696,12,56,142
G4lspZyt7AJx2c3711MaPQ,1.5,140,3,23,30
kziLxFWC71Z6PbKscj79HA,4.5,718,8,60,121
yBvj8B6e0Bj7TRM2743Afw,3.5,3370,28,198,660
SgGINtDKQgoXoAnQgrDKDg,3.0,5584,48,196,838
M3vWHpOjARdJKwwoO0Wm0w,4.5,336,6,27,45
JNeZ-aV14xZnkkNTfc3YgA,3.0,56,3,14,16
NK-lGc4ZpuuduTAwK5Y24g,3.5,3158,38,110,504
4NA8eVNA-41mcUK_QZYu1Q,4.0,179,4,18,28
GjsA7N1j81TjBt7hT5H4YA,3.5,4197,37,160,592
32f43CI5i1oCleGZG5kQFA,2.0,7459,85,271,1255
itFwrNtjrQL5NPMYTeD44g,3.5,44061,307,720,6298
9dopZKjYiKwPiw7kEQsEag,3.5,10069,69,303,1486
4jKfqrEPuhBr-Ssp5QFLxA,4.0,849,13,126,195
PwCIMun-O0dB7Kh1NP7n5Q,3.5,1206,23,79,215
NbqbD0vR84L3VN59J41ePg,3.5,1402,21,105,293
aU9xfD0OX_R5lcCxPnhHsA,3.5,489,4,34,80
NUkwod-8wWjQ-3ghMoh8bQ,4.0,1118,13,84,216
27q7XsLrKPNwr8i5RcCOvQ,4.0,823,9,58,110
ip2u1q046HzhFc1sC-pR5A,4.5,1313,12,131,308
uQ1A9spWBHXOQhSF7y3Nyw,3.5,3866,41,190,730
m4LaTWm5vP01mGpFcqoPZw,3.0,11607,81,412,2065
nu0giYqJOGLVsZLUdPwQOw,4.0,564,8,34,84
AxScnvjfLqpPmTLXGjNhcA,4.0,2957,30,153,593
aVCIF4JaQO4qiRoiUWEt7Q,2.0,389,5,31,69
A61mX9Ed_txnw-S9idIdZg,4.0,15733,92,472,2867
pp7bhc83cuKC8NkURPaOjQ,3.5,655,5,70,146
E4xZKaClfyebUI59RBOePQ,4.0,212,4,69,74
7a2RrK3SYgMOEuJesKBZLA,4.5,103,2,42,43
K9hZAkRFuyfmLwceX8K4wg,3.5,7480,82,181,1284
6lhDyoMm2C2p5PgYfVhWGw,2.5,81,3,10,14
DjVWQ_Idtw6X5Eg0W5JFWg,4.0,5908,67,228,1128
t1c-Ix7GDbkbcKy_ZO71vw,2.5,548,11,51,120
59kTtQDwjH-z01r1KixdKQ,4.0,1452,18,94,246
ES-j5yNTgmgbL4He0h6otA,3.5,99637,755,1124,13809
yUUnMqu_qr9O4EuDCleKeg,4.0,1240,10,74,195
Bvj-UP9khEzuwDIW7eJNOg,2.5,153,4,17,21
Omb-MB47jd6S6oUqGumnww,4.0,426,4,24,46
2MHIzCgnuLrLJcorln_7WQ,4.0,1206,12,71,184
igIYj4v02l7KNIIY6jSlDQ,4.0,4981,45,204,928
MBYz3r_77mdQvb_iR_zi-A,3.5,598,6,64,138
VIIoBwWzSkxcD7gp9-i1pw,3.5,1031,5,78,193
Zls4XLThHK6sm8NI4_OCEg,3.0,4004,28,65,370
AgtFQVxo-PGQVsOdY6Nvdg,4.0,373,3,51,103
TwwD5FQSe0vk1Ecp89HjEw,4.5,11246,73,450,2235
dpYdTnCG4b_qiA0S_TKzjg,4.0,3301,48,179,587
n1f9rWJzdGX982bFvZPBHg,3.0,74,4,12,15
tghAVX6DJVQlUD3gEcfWrA,3.5,291,3,34,39
nSFZCaugV5BnkyBLnRXdhA,4.0,7675,93,263,1302
pXTwSV_zMOJZ0S81XA-O7g,5.0,48,3,3,4
xAlbnLyQhRzO0ZHH0QGYlQ,4.5,259,4,22,34
NqaIaeSKICykFdtLIxNS3g,3.5,4524,48,209,875
Zr4OrMKHx5LhujA8-QMZOw,4.0,941,5,47,125
cwrf67GWlXnwNDEY0iiTgw,3.5,8316,49,293,1576
pI70lagk6M2cHExvRGBEyg,3.5,10184,73,397,2013
O2ZJBS7uqGA0kGDr3-VgGA,3.5,1522,15,98,301
GrQhGmJ4sEBu8uVo8gAaGw,4.5,609,10,158,181
WS1tXjucYwsln41EnK6gJw,4.0,350,3,117,125
Qjl1fyG__EtM7_VsOdB2hA,3.5,1101,4,74,218
ChpD84anxG4iqE81q27R3g,4.0,3059,17,126,426
ky_i0FKSIOHEOmu5OAKC1w,2.5,4772,34,259,790
WJeSI2oOM6NCqOzuMKDPGA,3.0,1418,16,111,321
HAgGoHAT9Ar98jjBvhucPA,4.0,2481,13,183,552
98Cs_twO8VAroN3oA5TkGw,3.0,3872,33,199,706
5NcgSVx0fJFYManZSJyRQA,3.0,5243,30,257,931
78JJr9A0MbbHuXE1XUr-bQ,3.5,12239,63,340,1999
BERAahmQiAF9wpxZDtvk_g,4.0,251,5,27,49
EhBSVPbSw1pKE0gg4u2Kqg,4.0,3944,39,188,708
1T1hQpU4kbukSLoz947BWQ,4.0,4006,23,194,756
LbVBhtk7yMVgDAuoiknBFg,3.0,1587,20,102,294
D54vs93Q3NZkh5P99V2n6A,4.0,3621,41,205,733
HMEmtYDInYfamfK86IGHXA,2.0,141,3,42,46
Ix1I-Ud_6KCttppMJEcHmQ,4.5,1874,14,167,416
qDekodPPD6hvaxqqWasudA,3.0,3576,37,131,517
vogZZuDmuVZmKssoZ11Kyw,4.5,13240,144,368,2514
47A3pWsdYNhFFy9gUEVcYQ,4.0,6174,66,222,1057
PYqGWEWUH6x-BO-lIS2hPw,2.5,877,13,44,164
mBoBqddiTX3NyGE0Xiz7_Q,3.0,533,5,159,221
Gj33U7MhMSw5wtr9Hh6GEw,3.5,654,5,61,143
hbzFgwAaoLpJHCeBPp8njw,4.0,1359,11,323,447
1dAA6vT55o35XZT3DV4hSA,3.5,3696,46,146,795
c7pNpJMmvRXBpC_8kj76nA,4.0,18508,148,527,3425
ufTc2nAIvTRQDWLRZL4wfw,4.5,964,14,69,219
Y293fHh5SZ0_9BZm4M6BCg,3.0,6600,48,259,1107
owGvJscfm-k-rpAH8mEmBg,4.0,2153,17,200,465
YUV08PQk7Vk96r9Q0b3XAw,3.5,6149,64,233,1154
pWPzxPPXN4IqI7RUU_8KKw,4.5,1895,24,89,273
sywKS0egWKmb9vJr9a_zUA,4.0,3599,39,194,644
BIprAvpTBXFlRmnTVbrGyg,3.5,4053,42,178,613
Dvt6FyGkBpcC_RafI8i4cw,3.0,869,5,81,167
3gW2RXszp01HcZqItaRKNw,3.0,98,2,10,14
5nddZwZzT7pvC5vBjKRzoA,4.0,3968,48,138,606
Dt8RITU4OmTbRaKKlZm_Pg,4.0,1136,7,121,294
YdfOelqCguwnvHxNwlI8Ug,2.5,688,3,104,168
Yetz4GH7-hlQTOuLJhUTPw,3.0,458,7,66,129
XZK4N683_sPkQ2MYyafD3Q,4.5,14270,84,536,3063
qFL5lY8_Tua2e8LMnd9IRA,3.5,472,5,144,165
21d8E4ZgnnnU83OWFrs-Wg,4.5,498,4,167,227
NWtC07BxIqQp76kugbvynA,3.5,503,10,37,74
1qgy9kz5TQaTm-9qcoATwg,4.0,803,8,42,95
Ln34kwDUNZPLhVhUqauLWQ,3.0,1022,9,96,204
S2kUbhLOVYTRChXSQ7qoNw,3.5,1357,14,159,284
K26GoGFV6LidUgW7wcacBQ,3.0,757,5,75,194
R732nVMMVi23VhdGIYZxyg,2.5,591,4,75,143
5YgXxBUzhf3qh8F8wYSqsA,3.5,15587,136,480,2847
6Qwvrxk-gcDMotRCua21QA,4.0,451,3,48,66
Yolbffkso5NzevoEdIBEwA,4.0,219,3,13,22
41Lse9Lm8l2ai-txhbQIGQ,4.0,4063,47,192,933
OaggbPxcgYMqOwLYn7GtBQ,3.5,2080,18,157,400
r4VFTmgE_h6n3JnjG-Q-KQ,3.5,1169,9,28,101
2K9eURgPlFoL2KJkxk5NaQ,4.5,1015,14,34,132
EE8u3qi8riVdLSh_wmcjEw,3.5,724,12,48,130
JQzJHLc2LBNYJ2ljTkiuXw,4.0,596,7,40,81
RxVwwg9H5YsMlDZLlmxLdQ,3.5,4366,29,193,830
Ee-Y-wMNXq9T7ck_U0j42g,2.5,188,3,13,32
MUPWRBidG0_EQC9ey4-xKQ,3.5,1604,16,134,332
cmhI53vn0vg_OvzHRP87Iw,3.5,8774,91,332,1752
LbLVO7yqAJGEQ1nK6rEvHA,3.5,9219,86,341,1843
f2PQkagSYmdKKCQgE1fFTA,3.5,306,3,91,95
9qDxlEmzsp_-_PTwBu6maw,3.5,24657,178,605,4430
R3UFldNkrGqOsDgD_cw6bA,4.0,4239,49,220,885
Kxp8cIMt3-vxwtCSsL9QKQ,4.0,38069,226,850,8043
gWj7jkcHffr6PapiKgLXrw,4.0,524,7,47,98
Yvk6VWr6SVg6PG4jIep6rQ,4.0,12834,104,329,2311
hM-W9v1nnbdemwfcR7SvxQ,3.5,710,14,64,141
HDXY5ymbehbAL4HZCqgtMA,4.0,1648,20,53,149
eal7Vfv39cAUVIyiJJ--Jw,3.5,425,6,39,74
uptdn_hZsuJOCp5WCKJxjQ,3.0,422,5,34,84
spGiAj6ZDwjjBL1q6DXQZg,1.5,783,5,40,110
ns2vxJtyMFyf1OuuasdRyQ,3.5,107,1,12,15
rpjwmrKICOA6BCdZfK7p-w,2.0,1284,9,71,186
j46-jc_UxQFV1sFnqM9heA,4.5,347,6,117,144
RmA5zN-Bs89lsTuY6v8W3Q,3.0,20905,151,415,3079
ut-kla-EA23nJOij_dcL0Q,3.5,6282,59,231,1072
XgfKcL7eBJE9B66qoaIlJQ,4.0,36076,306,558,7239
D10U9_7yvW3LbejSEfV25w,3.0,18345,118,486,3014
AATvrPqbgZ64dLfqSvNSow,4.0,2257,22,140,420
bt9J3GgjArWCTfyoa3naEw,4.0,50864,349,1075,9679
VjzclBdSXmf6uNrD0DG2bg,3.0,1204,14,70,239
Ih1TGSZyu2Q8htn2JA4tIA,3.0,7421,53,295,1315
m_nunIk_4iHZM39N6ejsyg,2.5,3019,22,140,447
Me4q6iXSjJyFsfKx-l3kcw,4.0,20532,146,532,3472
1ZHozTtv_UhEMscM1tBElw,4.0,65,2,16,18
2DDY0JRc8q8PApPEPF-vGQ,2.5,2574,21,112,465
ljx5LTH8Ksl_KoyYZlyH8Q,4.0,2480,23,129,504
U87W6T9vjwWnp28Zjnn4pQ,3.5,34514,287,803,5888
rFwcTu4ZMlvYHa1F_-Qikg,4.5,779,10,61,113
owUZBugX032gYls-gkSwmA,4.5,5377,45,188,911
l9MztjVGVa_jakvMQDjCZw,3.0,3189,36,164,578
7DLXPGS8l6ofVIUELHpvMw,3.0,2682,18,106,398
IPmktV4dkAw1jpHZRi5mVw,3.0,1511,13,71,271
SWSZdo4sBhrcQSmN5e1myg,3.0,3877,38,210,877
Q3ngHERN9V0R1U0WwyBuPQ,3.5,1678,7,131,294
_mrGYF6uScU24LcwshEqCA,3.5,9388,84,360,1846
P9z62hMP-QAGQt406dylpA,3.5,943,12,84,221
pb8ZcncghqEFyte3-6nJWg,3.5,331,2,115,131
cRfn_vMQ9YExuKb378CwjQ,4.0,53762,269,724,6781
994TtJYxB68eSscnCr94qQ,4.0,5261,53,220,1064
qz4ZOcv-840UjfCEYI4qZg,4.0,6300,66,201,926
zvvCrwrr4VGz-D9GtMhDGQ,2.0,395,5,22,52
62EQGCWUVIRixQD_q72V0Q,3.5,2205,28,140,488
WBMQbW19_xH2zoUjAzIAAQ,3.0,764,5,33,102
NNRUSPcXr3lGpcaaA3-Epw,3.0,255,5,17,27
HqX-wW-iRspulgRvE7eLiw,4.0,14368,120,418,2807
Oe0cxmz0lD9z4FXGWJ1ZZQ,3.0,5072,45,213,976
nSv-Ot05l--HHBmvtMyt8Q,4.0,469,3,57,110
9iaMnKdCQrJA-UPYmDYs7A,4.0,511,4,37,90
bwaj94niH8eOG5p31IKB6Q,3.0,5699,44,250,874
n2MTry6EWZKwDxxm9-povQ,4.0,1083,13,72,183
ttCWIiHpoiuZX96D2KbNaQ,3.0,190,3,17,21
wI9mQ2PBEQ1r375XzK4rzQ,4.5,54,2,4,4
pVnUE5EeIaIbjXzaH7sLyw,4.0,14753,114,368,2351
LNCrJTwjH9cOoLjPOzppmQ,4.5,576,4,63,148
qpo6O2Ozbrn8wFnoCM4slA,4.0,30240,224,863,5739
Q5dVKQsL04m33ICynOb0Fg,2.0,367,4,52,83
jEyv3Z9DzhKZ_ko5SmmJhA,4.5,254,4,13,30
XikYtr6sqjd8a1PpaLIfwg,3.5,799,7,35,54
PmeN_flCu1DonjP_g90sFw,3.5,3712,45,208,742
7jXa8V1n5rn-zSdRpzNH5A,4.5,302,3,41,73
Esn7lfc9w6KVoX61FsXM3A,4.0,6756,74,286,1441
ivm3ayyeXZotB1U96uoLaQ,4.0,2277,19,297,598
Ak6ThDexfSFwoajgOpio8g,4.0,770,8,29,56
pNqHRWlrbh71zbPZNd7_2g,3.0,1238,9,84,201
zBrrtMoBUCMSLiy-v7pUfA,3.5,4104,45,128,634
Oqm8u_eI_LVXOMAJ4wzP9g,3.5,14804,127,460,2660
4z60nK3meSf0w0gYhH2CuA,3.0,6718,49,226,902
ZLMTpar6-f_TgekXpaza6g,3.0,2093,18,120,390
8te-55rm06qO4BSqCYsDNA,4.0,826,5,78,157
cyDDwKfTjeJn4pqFE5s-vQ,3.0,2235,21,145,435
SDs4eWoV-cpJystzTAH0qg,3.0,1501,11,100,310
M0ULEWxyedWZ7iVVF5TEKg,1.5,394,2,32,81
YCCDMLcb7UW8G-o_HsWiiA,4.0,37505,236,953,7084
FN8DhpdO4UBnynOzswVCCA,3.0,2989,25,118,425
dMjNtVrynJtz0MQZkGKcdg,4.5,12652,126,339,2213
q5kF1NoeT0OFFJi2L6IQow,4.0,8015,88,270,1773
OedV_QX8aD7MeLqshhWkCQ,3.5,1021,18,62,155
c5VkyefVm_u65A5AGAWKMQ,4.5,614,11,169,204
hiYj3_r4RbuHQJ--rAflMg,2.5,436,6,41,93
FPyYoexztOi-I0-uOaUFgA,3.5,3406,27,176,584
S-fPItLurT0-pv3Pxh7ulQ,2.0,472,8,70,93
31sKikG8V3IQL3e2SQxHAA,4.0,194,3,19,42
CNaWMRD7iDM7p6pIxm1SAQ,3.0,1711,15,74,235
sFS2RWCXUqwSRVLMn5S6oA,4.0,3350,56,169,659
Fw95xLMdwO9LoOtbBThr9w,2.5,7180,56,273,1351
UBq0EyWQe42H0lrq0PXXqQ,2.0,693,11,51,99
Zpl8mUrhJJizHHOhbP4bxQ,3.0,1401,18,97,261
XtQgLRofbvrivJyinGZtkQ,4.0,2688,22,167,554
en2O4AiS0NDZ1AHgzYKzBA,3.5,16677,114,487,3413
UDlAc_lP-I0ITMoMZWHP3g,4.0,1198,16,143,311
pfTvVee_dAieMqoeomVtTg,3.5,1910,10,116,326
fwcoLKfZYMH6nZbAaeD6sw,4.0,53495,427,1239,10958
dRas-lkshHzfN3kY8chwcA,3.5,25963,158,827,5342
htMf9hWX1cHscJOipXmjCA,3.5,1425,12,114,329
Gtcq8csNOko-L7iSwMLVqA,3.0,9415,66,239,1385
ziMWTTne8l4UnQs2vXfjIA,4.5,294,4,36,67
w9t58m2lBLXfaJ-geQbPVQ,2.5,788,10,43,116
gHBf6Ve-jxMBZQE3Z1mviQ,4.0,8242,57,374,1411
eyG2mIQ0AxhJilhMWQhs1Q,3.0,1557,15,69,246
LtdVdYhs7MAwwTBuHhdsFQ,2.0,411,3,42,82
rswzmPzm264gwu-atRnmQg,3.5,364,4,31,56
MH7FX9S88Kl1TyXUSl4U7g,4.5,387,3,46,95
yPJFfglhMHAKciUpjTmgBg,4.0,13928,124,370,2524
MVH3JOKpQvMTP4jxwBUhkA,4.0,7055,80,146,756
nA4oBEtQ9e85aBnfzB63wA,2.0,386,3,71,99
4uuUxywiTmzzOHxRrcxZLQ,3.0,176,5,14,29
R710p-Uhsb6HwllyJfpcYQ,4.0,702,5,103,163
Ap6gsHZAT_ALSmBg2Zut3Q,4.5,2178,14,167,506
sbAkrBIVXuQG1U8e2wyhqQ,3.5,4039,39,183,795
-_Ke8q969OAwEE_-U0qUjw,4.5,1167,6,96,209
dXezFE77X4sQyqGBMbeECg,2.0,615,6,134,187
po5FyERB4lUZNnBIwnhFlg,3.0,2884,20,157,447
0sGhloiZf62hF_OTaahS1A,4.0,673,11,53,133
_xmJB767rROtAy6XepMlkQ,2.5,40472,371,863,7668
llOSbC5gBYOypx7RoSD_wA,2.5,71,3,5,7
S2VFlZGFw4783Q221D0obA,4.0,139,4,9,12
8RYf6xuRZDTyvX59eTAydw,3.5,1245,12,66,222
A0tz5rsGfK4BnN70PqLI4A,3.5,2340,25,139,432
MSePTzl6B8boCt2I3hgkMA,3.0,7241,39,260,1295
pXZtlGpKm-AHLPjD-reuIw,4.0,1955,18,128,347
ZpB2O-WAbbRHdP0V8GrwXA,4.0,18184,138,593,3668
H1TpKMkMwPaHML5TY9OKlQ,3.0,402,3,33,71
4CC4J_bepXOiWVS4CVN6NA,4.5,3838,24,236,616
KdDHF8nFUVvR2pBN5ruGFg,2.5,2046,17,107,301
LfK0qOGUceSWoEJBfDtpUA,4.5,345,9,36,71
BKSfpb_FNv5ZRUvBl2tqqg,2.5,272,3,24,53
fpt26V0LGWkvfp5N-zJqLg,4.0,571,6,62,75
JShpcX_oSkA0aXINpsPGQQ,2.5,956,9,98,211
rpSKQ-pHcRxKCNuhoEZ2iw,3.0,226,5,71,75
I2_yeLfTzXHGwi8an0tL4w,3.5,8302,80,281,1498
R9uAC0qIVMDQ8mEtwY2ZYg,4.0,1379,8,99,265
QMsUey4Xi1VfHkwbI8YxdQ,4.0,5335,59,236,1022
i1GWM0MKxF3V5jveyCks7A,4.0,2863,22,113,443
9hF1vOOkT-OMVhYwPCxtcw,3.5,517,7,67,105
PWwvKVnY5YYm9lzMCf88zg,2.5,1458,15,252,371
HRr72Nty5HsLaAWPARLslQ,3.0,5630,47,244,1030
SWl5NAa53syLN8JnUesRUg,3.5,1554,12,141,232
EmHlwDc9RsK597NbJtyEmg,3.5,554,6,57,114
x_S72g72or0n_B8XeznS3A,3.0,586,4,77,164
p-XHwkLMmF48JUulecN1sA,3.5,5868,35,479,1151
uwfAVezqBwKwGWhUzw52GA,4.5,647,7,50,121
ZRGf2xsGIUw1pWmE7qc87Q,4.5,551,2,58,83
1rjOg5oc2Mic0ssqj2ex7A,4.5,607,11,57,110
6aL56OOjoKmYlCkdfQcIMQ,3.0,4746,41,191,703
6imLt53br7SJ3av07jjH7w,3.5,59676,438,786,8135
s8cHXeSlX_aPI2x49UkCCg,4.0,17304,172,383,3567
hYDLAZBDpbSKtTyFrnVv_A,3.5,2368,23,143,478
LxUL7mZjMbVX9ZBSyyKWmw,4.0,11791,113,406,2218
cPmbPQepAatet3QMUZaSeg,4.0,4162,40,188,847
_Lib9F27TqM4mD-_r6J9YQ,3.5,172,3,20,30
S0LS6QtN-ZHdQZFmrVDM4Q,3.0,871,9,68,185
F8I4nmpQzbNPE9cG7-kfjQ,3.5,643,4,56,115
BLTrjqOHhtg6yYk8ObeAxQ,4.5,2264,21,141,429
5KF3AmuVuaNQVD-R7JGDpA,3.5,1969,14,173,461
4h8_u6Fqm3JvUEq8ctWf-A,3.5,25960,188,739,4551
vW4G1hwiW6LkuhAfbeRfqg,2.5,38583,301,875,7046
VWcaFOSFcDwmFquycBzFyQ,3.0,2187,25,90,453
ud_ij4Bj8Y_HGxi3fliIAg,3.5,1230,16,56,155
uO0mXKi1gtmmXq2xG3YrOg,3.5,92,3,34,37
eqbpaxfx2DHhG-cj9L8tVg,4.0,7211,69,294,1338
E9Kwi0vS_zbsJ8NLThcAqw,3.0,765,6,67,189
Dhtdds7WR_h7W1FrcdW3uA,3.5,698,7,46,94
48Qg18SR0flit8fAvHAcvQ,3.5,1755,11,128,373
_RkvdDlzEFSRnGMrTRkVYA,3.0,2128,17,124,410
A5MadrE5Dd_usQUEKmW5pg,4.5,3269,34,164,618
EdLw8Zx6ruzOVlvrEJsqJw,4.0,1378,19,85,223
Ht8kHCVTKczkl4aAt46pYw,4.5,2232,17,128,449
FL84u0hLmcXN7A-cg9I9_Q,4.0,1233,6,105,219
Mh85-BDqDHlngT8G2ZnRWg,4.0,7213,92,266,1421
Vi9dFbRNDO8BzXJuCdVufg,4.0,263,3,29,48
QozXMHqNzkVutP-FhcP30w,3.5,56000,395,1443,12618
_INaOLXnLK4cvX32CowuKw,4.5,9039,80,323,1663
fF6m3qsD5blnwuZRuYhzWg,3.0,33476,279,538,5492
cXpQJiyJirHfnbbFscPmhw,3.5,102,2,22,24
iOITnizWLD3NlKxRtZd5AA,3.5,2564,33,154,539
e2zI0OMvlUdL82Z0uQHNiQ,4.0,7446,45,374,1694
VDRhqZIVL8rFLe_6UEID3g,1.0,122,3,9,10
wyqouyZTP2qtLs0sdQJSOg,3.5,8271,44,271,1336
DfA7H9rpwTXJ_3GOOBqNZg,3.5,1773,18,111,298
83nWnjqWcvJCQ49IHwNh1Q,3.5,1936,26,103,358
LfNBpim_q77832nzHqG6qQ,4.0,602,7,47,116
gpdBiTU4FWxBz4sAb9UW3g,4.5,12940,116,485,2644
l3xGrro6IPIrlXB9bAbijQ,2.5,6695,45,167,865
P3TFaom0CAdyAh9l8LwhtQ,3.0,193,3,20,35
FBuNLiL2KILEQ9e8SbNWPw,3.5,1493,11,76,238
T_FMm8BNUIfUOhE-ScV15w,3.5,2425,28,108,499
3DCjixw25ebL2_sAvNUBUg,3.0,1155,10,90,238
CR9v7-hJAUi1E1MePCCCeg,4.5,1462,9,86,215
vbIgxwyyTq03158xRvnfuQ,3.0,4035,44,165,672
nGRwQoNA5CT520hZmDuCDQ,2.5,4817,40,234,828
DCr2GW5hIshIooQ91diaSg,2.5,280,3,37,66
WN2zGt0Oueimih0Raow1lw,4.0,746,8,76,155
j7GDzt9TfD87_JWJy9eI4Q,4.0,7288,69,315,1295
51Tvv-QOiFeEcELzDuO1fQ,3.5,803,10,66,138
OFSnt_GrqwfnONJ6dwHdEA,4.5,703,7,46,123
ROQQk4mCm4_tebvTEGjhEQ,4.0,22579,204,667,4176
wJr6kSA5dchdgOdwH6dZ2w,3.5,889,7,69,168
xM_tsBE4PPb_ZFcXq16Bew,3.0,2371,21,153,447
T82cKFVduIINWbHrz2_YRg,4.0,6047,63,214,1207
SkHb1w-oNPW1hHlzgLb9ew,3.0,7011,71,192,876
QvRK2dyv4EDxuJ-LuodE2Q,3.5,22794,193,608,3862
RqbSeoeqXTwts5pfhw7nJg,3.5,5155,56,140,611
LzzlwFvAxv70zTWBCNs0aQ,4.0,6492,62,215,1126
BQjGE1Z3nk253XzIZqt8Gg,4.0,67566,636,1234,14361
hlekz2L2HV8cVSEkgMvuEA,4.0,13625,84,526,2553
yF7xdmP2I4q62UJ1E9ZhbA,2.5,315,3,91,100
UYrzcJMNfczRG4J16j8yzw,4.5,822,17,83,167
rgfGTkoh6zfoyEBRUJIbeQ,3.0,1209,20,106,268
VLON3ZLAZm5fSE50_IC_Yw,3.5,1372,15,176,315
eZMveJQZ4gTgvewOlcUaVg,3.5,678,3,62,114
IUpFDCNfawl6UBxyaEikDg,1.5,219,3,18,30
0lN71KKnrMMuRDIssDVGww,4.5,1574,18,127,280
AL259yRTSk5jQp6C4tjSiA,4.5,1539,14,106,243
SfrBXbRdNB_gqPkIgJyKCg,4.0,998,12,95,206
n7sXYcQRoU9zs5DAekFmNw,2.5,1269,13,64,231
yzUjuBvj9hDWLN0ZIUYobQ,3.0,3012,25,153,494
XdDSKZ_1I2qP8QHrrwmz5Q,3.0,1245,7,60,177
he_b4txorHTrKjH5DnnmdQ,4.5,1131,8,97,240
LcLTXfH_ado12bd6W4VT2w,4.0,129,2,52,54
3usbtRYEnsE7jxEDJRjs7A,5.0,205,5,13,27
ULvDCr7r9sMU1iSwgTHXsA,3.5,689,9,56,107
biWA-nwoxyYcHMvARR-fQQ,3.5,2588,22,117,432
JauLZ0TL3D3VIGtSnStzhA,3.5,47177,322,1210,8720
MiwZO5dziRgAjwc6URtStA,3.5,2194,15,69,190
LmGNs_JUEzpaJ_I_2O90vA,5.0,14,1,5,5
b6R-vvN8keWs99vbCVrKsw,4.0,2563,19,261,615
UigtwOB_B0Wba3yH4IK1AA,3.5,2801,32,112,378
qn_JH7PPnJzwWkiAhadnsA,3.5,18276,148,306,2022
OcTG-KzDleuRub-pb6JS3Q,4.0,321,4,37,73
MLAnvEcvDfOWELHUN_0xEw,3.5,10542,80,297,1459
6qXQQOWdUZiJmWVqkWB-3w,3.5,31475,292,807,6216
ZdDgpzsj655q2XBUJ9inEQ,4.0,346,4,29,53
lwV_qMCHcjRa10-MJK1Eqg,4.0,3100,45,315,694
btay-zbv6GGEp6c3Wg2MSw,3.5,5716,49,257,1147
g2tqRwPWHCWtr_SEEAECoQ,4.0,16093,142,874,3293
go8TvZ4NsR0b8aTynjzP3Q,2.5,1649,17,85,264
NWN9J0ehlwqVFXiBl4j5EQ,4.0,6984,44,355,1492
dBwSs6INAgTipopffoCwzw,4.0,7864,71,355,1651
waJ2o0riNU8HboKrwV6vEQ,4.5,478,7,44,69
yp7pQcbglwBn8tfUVI7QUA,3.5,9779,78,404,1785
XMYZk-YPCIUvOXffzVw_1g,4.0,539,6,61,123
DYm0Z-n67LYqzBgkA7ZQlw,3.5,5081,26,183,706
rQEVIWkcIjnfIKUrqovUDA,3.5,2311,19,94,317
HSSjkJ3wKQ0AqTzVHDpHWQ,3.5,783,11,43,112
0zhe1C7G5lZNbd_gTyPilQ,3.5,738,9,56,121
znKRJ6CrJXlpsq1huRU-kA,3.5,2244,14,257,517
jG5rs1PJgHo1ZluqrDS_LQ,3.5,356,4,23,33
VXuvmtDipL_WRwc0NTM3iQ,3.5,3944,43,162,721
wJ-JsU531VcSKta0oFh15Q,4.0,8417,81,353,1496
sygb2W4NRadVXiWhW8bnFQ,4.0,1200,27,74,181
J7DYRCtU9Tdtja5c7k1sjQ,2.5,10517,76,244,1533
T_nUr6KgnzrRwCssIGEd8g,3.5,819,12,62,140
JaB9v7_EwTB8v-v7YDxqrw,2.5,751,3,32,88
lK35BgpjOMXwchPzqYWomg,3.5,5424,65,218,1036
ha3m97grf27exFfyrBys2Q,4.5,170,3,23,38
4UskRuHsAnhF2Gzf0L1zpw,4.5,503,4,52,96
V2r0eOX5_cO0BrpBN_FVaQ,4.5,585,8,133,169
lPtTXn7_VOwqypZs07j2nA,4.0,933,14,78,183
